Station_ID,MLRA,LRU
USC00209188,99,99B
USC00201522,99,99B
USC00204808,99,99B
USC00207253,99,99B
USC00202955,99,99B
USC00208443,99,99B
USC00207222,99,99B
USC00207225,99,99B
USC00207350,99,99B
USC00201299,99,99B
USW00014845,99,99B
USC00201361,99,99B
USC00205434,99,99B
USC00202631,99,99B
USC00200361,99,99B
USC00203913,99,99B
USC00207419,99,99B
USC00200417,99,99B
USC00203585,99,99B
USC00206587,99,99B
USC00200632,99,99B
USC00202804,99,99B
USC00201343,99,99B
USC00207820,99,99B
USC00206663,99,99B
USW00094898,99,99B
USC00206662,99,99B
USC00125815,99,99A
USC00129724,99,99A
USC00205603,99,99A
USC00207320,99,99A
USC00200842,99,99A
USC00205563,99,99A
USC00205558,99,99A
USC00205822,99,99A
USC00202308,99,99A
USC00208080,99,99A
USC00201250,99,99A
USC00205450,99,99A
USC00205451,99,99A
USC00207312,99,99A
USC00209110,99,99A
USW00094847,99,99A
USW00014853,99,99A
USC00202015,99,99A
USC00202016,99,99A
USC00203477,99,99A
USW00014822,99,99A
USC00202427,99,99A
USC00202691,99,99A
USW00014804,99,99A
USC00200106,99,99A
USC00205807,99,99A
USC00206982,99,99A
USC00206680,99,99A
USC00201238,99,99A
USC00338609,99,99A
USC00336405,99,99A
USW00014825,99,99A
USC00336342,99,99A
USC00332791,99,99A
USC00338313,99,99A
USC00336465,99,99A
USC00333874,99,99A
USC00332098,99,99A
USC00332976,99,99A
USC00333722,99,99A
USC00332974,99,99A
USW00004851,99,99A
USC00330862,99,99A
USC00335669,99,99A
USC00333292,99,99A
USW00014846,99,99A
USC00331042,99,99A
USC00338110,99,99A
USC00338822,99,99A
USW00004848,99,99A
USW00094830,99,99A
USC00336882,99,99A
USC00338366,99,99A
USC00115758,98,98B
USC00124778,98,98B
USC00126401,98,98B
USC00129511,98,98B
USC00122161,98,98B
USC00124657,98,98B
USC00208202,98,98A
USW00014833,98,98A
USC00201502,98,98A
USC00203712,98,98A
